Id,Pokoj,Cislo,Jmeno,Prijmeni,Nick,Pozn,Filename,,Pohlavi,Deti,PlatnostOd,PlatnostDo
58,,456819895,Zdeněk,Roller,Zdenál,,zdenek_roller.jpg,,muž/male,Adam,1.1.2010,31.12.2099
59,,283228568,Bára,Polívková,Barunka,,bara_polivkova.jpg,,žena/female,,1.1.2010,31.12.2099
60,,64436229,Jan,Šikula,Honza,,honza_sikula.jpg,,muž/male,,1.1.2010,31.12.2099
61,,196358455,Jiří,Šikula,Jirka,,jirka_sikula.jpg,,muž/male,Jirka a  Honza,1.1.2010,31.12.2099
62,,132350980,Jiří,Šikula ml.,Jirka,,jirka_sikula_ml.jpg,,muž/male,,1.1.2010,31.12.2099
63,,748832699,Iva,Šikulová,Iva,,iva_sikulova.JPG,,žena/female,Jirka a  Honza,1.1.2010,31.12.2099
64,,413442497,Ivana,Štrublová,Iva,,iva_strublova.jpg,,žena/female,,1.1.2010,31.12.2099
65,,68650561,Jiří,Štrubl,Jirka,,jirka_strubl.jpg,,muž/male,,1.1.2010,31.12.2099
66,,292567362,Lubomír,Zedek,Luboš,,lubos_zedek.jpg,,muž/male,,1.1.2010,31.12.2099
67,,427657306,Leona,Zedková,Leonka,,leona_zedkova.jpg,,žena/female,,1.1.2010,31.12.2099
68,,717273300,Karel,Flos,Karel,,karel_flos.jpg,,muž/male,,1.1.2010,31.12.2099
